name,price,unit_price,district_code,segment,type,area,level,remaining_years,date 
HIGHLINE RESIDENCES,2500000,2074,3,RCR,New Sale,1206,01 to 05,94.0,Feb-18
THE BERTH BY THE COVE,3250000,1106,4,CCR,Resale,2939,06 to 10,85.0,Feb-18
PARC RIVIERA,1323000,1149,5,OCR,New Sale,1152,11 to 15,96.0,Feb-18
VARSITY PARK CONDOMINIUM,1250000,1139,5,OCR,Resale,1098,01 to 05,85.0,Feb-18
QUEENS PEAK,1515000,1877,3,RCR,New Sale,807,36 to 40,96.0,Feb-18
QUEENS PEAK,2537000,1684,3,RCR,New Sale,1507,41 to 45,96.0,Feb-18
MARINA BAY RESIDENCES,1600000,2252,1,CCR,Resale,710,41 to 45,86.0,Feb-18
QUEENS PEAK,2528000,1678,3,RCR,New Sale,1507,41 to 45,96.0,Feb-18
QUEENS PEAK,2493000,1654,3,RCR,New Sale,1507,36 to 40,96.0,Feb-18
QUEENS PEAK,1608000,1915,3,RCR,New Sale,840,41 to 45,96.0,Feb-18
QUEENS PEAK,2520000,1672,3,RCR,New Sale,1507,36 to 40,96.0,Feb-18
THE TRILINQ,1476000,1331,5,OCR,New Sale,1109,21 to 25,93.0,Feb-18
QUEENS PEAK,2511000,1666,3,RCR,New Sale,1507,36 to 40,96.0,Feb-18
QUEENS,1450000,1225,3,RCR,Resale,1184,11 to 15,79.0,Feb-18
QUEENS PEAK,3270000,1633,3,RCR,New Sale,2002,41 to 45,96.0,Feb-18
THE TRILINQ,1632000,1213,5,OCR,New Sale,1346,06 to 10,93.0,Feb-18
HUNDRED TREES,1800000,1221,5,OCR,Resale,1475,06 to 10,866.0,Feb-18
CENTRAL GREEN CONDOMINIUM,1350000,1458,3,RCR,Resale,926,06 to 10,73.0,Feb-18
QUEENS PEAK,2535000,1682,3,RCR,New Sale,1507,41 to 45,96.0,Feb-18
THE TRILINQ,1689000,1255,5,OCR,New Sale,1346,16 to 20,93.0,Feb-18
WESTCOVE CONDOMINIUM,1010000,830,5,OCR,Resale,1216,06 to 10,76.0,Feb-18
THE TRILINQ,1770000,1315,5,OCR,New Sale,1346,31 to 35,93.0,Feb-18
REGENT PARK,842000,1043,5,OCR,Resale,807,06 to 10,74.0,Feb-18
THE PARC CONDOMINIUM,1918000,1264,5,OCR,Resale,1518,01 to 05,999.0,Feb-18
QUEENS PEAK,1696000,1694,3,RCR,New Sale,1001,31 to 35,96.0,Feb-18
QUEENS,1400000,1182,3,RCR,Resale,1184,06 to 10,79.0,Feb-18
ASCENTIA SKY,1875000,1271,3,RCR,Resale,1475,11 to 15,89.0,Feb-18
TANGLIN VIEW,1420000,1245,3,RCR,Resale,1141,01 to 05,78.0,Feb-18
QUEENS PEAK,1603000,1885,3,RCR,New Sale,850,36 to 40,96.0,Feb-18
QUEENS PEAK,1877000,1779,3,RCR,New Sale,1055,36 to 40,96.0,Feb-18
VARSITY PARK CONDOMINIUM,1367777,1059,5,OCR,Resale,1292,01 to 05,85.0,Feb-18
THE OCEANFRONT @ SENTOSA COVE,3100000,1811,4,CCR,Resale,1711,06 to 10,86.0,Feb-18
REFLECTIONS AT KEPPEL BAY,2738890,1580,4,RCR,Resale,1733,01 to 05,87.0,Feb-18
HARBOUR VIEW TOWERS,1080000,1356,4,RCR,Resale,797,21 to 25,71.0,Feb-18
THE INTERLACE,3200000,696,4,RCR,Resale,4596,16 to 20,90.0,Feb-18
CARABELLE,1600000,1270,5,OCR,Resale,1259,06 to 10,866.0,Feb-18
THE INTERLACE,2800000,828,4,RCR,Resale,3380,01 to 05,90.0,Feb-18
THE REGENCY AT TIONG BAHRU,2475000,1513,3,RCR,Resale,1636,11 to 15,999.0,Feb-18
ASCENTIA SKY,3000000,1523,3,RCR,Resale,1970,41 to 45,89.0,Feb-18
ECHELON,1680000,1486,3,RCR,Resale,1130,16 to 20,93.0,Feb-18
TANGLIN VIEW,2100000,1227,3,RCR,Resale,1711,16 to 20,78.0,Feb-18
CARIBBEAN AT KEPPEL BAY,2250000,1659,4,RCR,Resale,1356,06 to 10,80.0,Feb-18
THE BERTH BY THE COVE,2135000,1322,4,CCR,Resale,1615,01 to 05,85.0,Feb-18
THE CREST,1991000,2055,3,RCR,Resale,969,01 to 05,93.0,Feb-18
THE TRILINQ,1709000,1066,5,OCR,New Sale,1604,01 to 05,93.0,Feb-18
THE PARC CONDOMINIUM,1575000,1295,5,OCR,Resale,1216,06 to 10,999.0,Feb-18
DOVER PARKVIEW,1150000,1187,5,RCR,Resale,969,11 to 15,74.0,Feb-18
THE INTERLACE,2350000,1233,4,RCR,Resale,1905,11 to 15,90.0,Feb-18
REFLECTIONS AT KEPPEL BAY,5500000,2094,4,RCR,Resale,2626,11 to 15,87.0,Feb-18
LANDRIDGE CONDOMINIUM,2500000,1283,5,RCR,Resale,1948,01 to 05,999.0,Feb-18
QUEENS PEAK,1508000,1868,3,RCR,New Sale,807,36 to 40,96.0,Feb-18
QUEENS PEAK,2463000,1634,3,RCR,New Sale,1507,31 to 35,96.0,Feb-18
QUEENS PEAK,1601000,1907,3,RCR,New Sale,840,41 to 45,96.0,Feb-18
THE CREST,3407000,1819,3,RCR,Resale,1873,01 to 05,93.0,Feb-18
QUEENS PEAK,1899000,1800,3,RCR,New Sale,1055,36 to 40,96.0,Feb-18
QUEENS PEAK,1343000,1664,3,RCR,New Sale,807,16 to 20,96.0,Feb-18
PARC RIVIERA,1493000,1261,5,OCR,New Sale,1184,31 to 35,96.0,Feb-18
FABER CREST,1330000,749,5,OCR,Resale,1776,01 to 05,77.0,Feb-18
THE STELLAR,2250000,1094,5,OCR,Resale,2056,01 to 05,999.0,Feb-18
THE PARC CONDOMINIUM,1850000,1302,5,OCR,Resale,1421,11 to 15,999.0,Feb-18
DOVER PARKVIEW,1150000,876,5,RCR,Resale,1313,01 to 05,74.0,Feb-18
CARABELLE,1210000,1277,5,OCR,Resale,947,01 to 05,866.0,Feb-18
THE INTERLACE,2850000,1198,4,RCR,Resale,2379,16 to 20,90.0,Feb-18
THE CREST,1862000,2059,3,RCR,Resale,904,01 to 05,93.0,Feb-18
MOUNT FABER LODGE,3180000,1290,4,RCR,Resale,2465,01 to 05,999.0,Feb-18
QUEENS PEAK,1501000,1859,3,RCR,New Sale,807,36 to 40,96.0,Feb-18
QUEENS PEAK,1603000,1862,3,RCR,New Sale,861,36 to 40,96.0,Feb-18
ECHELON,980000,2168,3,RCR,Resale,452,16 to 20,93.0,Feb-18
QUEENS PEAK,1551000,1801,3,RCR,New Sale,861,31 to 35,96.0,Feb-18
TANGLIN VIEW,1398000,1225,3,RCR,Resale,1141,06 to 10,78.0,Feb-18
THE REGENCY AT TIONG BAHRU,1700000,1775,3,RCR,Resale,958,01 to 05,999.0,Feb-18
ASCENTIA SKY,2600000,1464,3,RCR,Resale,1776,41 to 45,89.0,Feb-18
DOMAIN 21,1280000,1450,3,RCR,Resale,883,06 to 10,85.0,Feb-18
CARIBBEAN AT KEPPEL BAY,2600000,1558,4,RCR,Resale,1668,01 to 05,80.0,Feb-18
THE INTERLACE,1400000,1327,4,RCR,Resale,1055,06 to 10,90.0,Feb-18
THE INTERLACE,1180000,1462,4,RCR,Resale,807,06 to 10,90.0,Feb-18
CORALS AT KEPPEL BAY,2434000,1869,4,RCR,Resale,1302,01 to 05,88.0,Feb-18
CORALS AT KEPPEL BAY,2275000,1822,4,RCR,Resale,1249,06 to 10,88.0,Feb-18
HERITAGE VIEW,1150000,1187,5,RCR,Resale,969,01 to 05,77.0,Feb-18
HUNDRED TREES,840000,1201,5,OCR,Resale,700,01 to 05,866.0,Feb-18
THE CREST,1803000,1925,3,RCR,Resale,936,11 to 15,93.0,Feb-18
THE CREST,1966000,2076,3,RCR,Resale,947,01 to 05,93.0,Feb-18
THE CREST,2434000,2075,3,RCR,Resale,1173,01 to 05,93.0,Feb-18
THE INTERLACE,4250000,1031,4,RCR,Resale,4123,16 to 20,90.0,Feb-18
RIVER PLACE,1260000,1445,3,RCR,Resale,872,01 to 05,76.0,Feb-18
QUEENS PEAK,1353000,1746,3,RCR,New Sale,775,26 to 30,96.0,Feb-18
THE CREST,3393000,2116,3,RCR,Resale,1604,01 to 05,93.0,Feb-18
ASCENTIA SKY,1550000,1636,3,RCR,Resale,947,26 to 30,89.0,Feb-18
CARIBBEAN AT KEPPEL BAY,1370000,1533,4,RCR,Resale,893,01 to 05,80.0,Feb-18
HIGHLINE RESIDENCES,2302500,1999,3,RCR,New Sale,1152,21 to 25,94.0,Feb-18
THE BERTH BY THE COVE,3418000,1110,4,CCR,Resale,3079,06 to 10,85.0,Feb-18
BOTANNIA,1535000,1209,5,OCR,Resale,1270,01 to 05,866.0,Feb-18
QUEENS PEAK,1810000,1716,3,RCR,New Sale,1055,31 to 35,96.0,Feb-18
QUEENS PEAK,1381000,1711,3,RCR,New Sale,807,21 to 25,96.0,Feb-18
QUEENS PEAK,1368000,1695,3,RCR,New Sale,807,21 to 25,96.0,Feb-18
THE INTERLACE,4850000,1031,4,RCR,Resale,4704,16 to 20,90.0,Feb-18
RIVER PLACE,1150000,1444,3,RCR,Resale,797,01 to 05,76.0,Feb-18
THE ANCHORAGE,1520000,1261,3,RCR,Resale,1206,01 to 05,999.0,Feb-18
BLUE HORIZON,900000,939,5,OCR,Resale,958,11 to 15,81.0,Feb-18
REFLECTIONS AT KEPPEL BAY,1700000,1579,4,RCR,Resale,1076,01 to 05,87.0,Feb-18
MARINA COLLECTION,3600000,1715,4,CCR,Resale,2099,01 to 05,88.0,Feb-18
HUNDRED TREES,1750000,1344,5,OCR,Resale,1302,01 to 05,866.0,Feb-18
QUEENS PEAK,1666000,1779,3,RCR,New Sale,936,36 to 40,96.0,Feb-18
QUEENS PEAK,1362000,1687,3,RCR,New Sale,807,16 to 20,96.0,Feb-18
HIGHLINE RESIDENCES,4560000,2097,3,RCR,New Sale,2174,31 to 35,94.0,Feb-18
MARINA BAY RESIDENCES,2180000,2046,1,CCR,Resale,1066,26 to 30,86.0,Feb-18
REFLECTIONS AT KEPPEL BAY,2100000,1561,4,RCR,Resale,1346,26 to 30,87.0,Feb-18
BLUE HORIZON,1300000,1059,5,OCR,Resale,1227,21 to 25,81.0,Feb-18
QUEENS PEAK,1347000,1738,3,RCR,New Sale,775,21 to 25,96.0,Feb-18
WESTCOVE CONDOMINIUM,1000000,885,5,OCR,Resale,1130,01 to 05,76.0,Feb-18
REGENT PARK,870000,951,5,OCR,Resale,915,06 to 10,74.0,Feb-18
THE OCEANFRONT @ SENTOSA COVE,2900000,1694,4,CCR,Resale,1711,01 to 05,86.0,Feb-18
QUEENS PEAK,1399000,1733,3,RCR,New Sale,807,26 to 30,96.0,Feb-18
QUEENS PEAK,1493000,1849,3,RCR,New Sale,807,36 to 40,96.0,Feb-18
PARC RIVIERA,1506000,1272,5,OCR,New Sale,1184,31 to 35,96.0,Feb-18
THE PEARL @ MOUNT FABER,1590000,1145,4,RCR,Resale,1389,06 to 10,83.0,Feb-18
HIGHLINE RESIDENCES,2314500,2010,3,RCR,New Sale,1152,26 to 30,94.0,Feb-18
BLUE HORIZON,1300000,1069,5,OCR,Resale,1216,16 to 20,81.0,Feb-18
QUEENS PEAK,1327000,1712,3,RCR,New Sale,775,21 to 25,96.0,Feb-18
THE INTERLACE,4500000,786,4,RCR,Resale,5726,21 to 25,90.0,Feb-18
QUEENS PEAK,1467000,1549,3,RCR,New Sale,947,11 to 15,96.0,Feb-18
THE INTERLACE,1400000,1327,4,RCR,Resale,1055,11 to 15,90.0,Feb-18
REGENT PARK,1120000,991,5,OCR,Resale,1130,01 to 05,74.0,Feb-18
QUEENS PEAK,1659000,1772,3,RCR,New Sale,936,31 to 35,96.0,Feb-18
QUEENS PEAK,1695000,1810,3,RCR,New Sale,936,36 to 40,96.0,Feb-18
QUEENS PEAK,1341000,1730,3,RCR,New Sale,775,21 to 25,96.0,Feb-18
RIVER PLACE,1100000,1363,3,RCR,Resale,807,01 to 05,76.0,Feb-18
PARC RIVIERA,797000,1234,5,OCR,New Sale,646,06 to 10,96.0,Feb-18
FABER CREST,1600000,918,5,OCR,Resale,1744,01 to 05,77.0,Feb-18
MONTEREY PARK CONDOMINIUM,1603000,1154,5,OCR,Resale,1389,11 to 15,866.0,Feb-18
QUEENS,1680000,1191,3,RCR,Resale,1410,06 to 10,79.0,Feb-18
CORALS AT KEPPEL BAY,2309000,1833,4,RCR,Resale,1259,06 to 10,88.0,Feb-18
THE CREST,3148000,1950,3,RCR,Resale,1615,21 to 25,93.0,Feb-18
REFLECTIONS AT KEPPEL BAY,3069220,1816,4,RCR,Resale,1690,01 to 05,87.0,Feb-18
CORALS AT KEPPEL BAY,2650000,1923,4,RCR,Resale,1378,01 to 05,88.0,Feb-18
QUEENS PEAK,1538000,1905,3,RCR,New Sale,807,41 to 45,96.0,Feb-18
HIGHLINE RESIDENCES,2046250,1810,3,RCR,New Sale,1130,01 to 05,94.0,Feb-18
QUEENS PEAK,1490580,1731,3,RCR,New Sale,861,31 to 35,96.0,Feb-18
HIGHLINE RESIDENCES,2421000,2102,3,RCR,New Sale,1152,31 to 35,94.0,Feb-18
QUEENS PEAK,1336000,1655,3,RCR,New Sale,807,16 to 20,96.0,Feb-18
QUEENS PEAK,1486000,1841,3,RCR,New Sale,807,36 to 40,96.0,Feb-18
PARC RIVIERA,1555125,1350,5,OCR,New Sale,1152,31 to 35,96.0,Feb-18
QUEENS PEAK,3217000,1607,3,RCR,New Sale,2002,36 to 40,96.0,Feb-18
CARIBBEAN AT KEPPEL BAY,1920000,1538,4,RCR,Resale,1249,06 to 10,80.0,Feb-18
QUEENS PEAK,1499000,1741,3,RCR,New Sale,861,31 to 35,96.0,Feb-18
QUEENS PEAK,1800000,1798,3,RCR,New Sale,1001,36 to 40,96.0,Feb-18
REFLECTIONS AT KEPPEL BAY,1660000,1483,4,RCR,Resale,1119,01 to 05,87.0,Feb-18
THE PEARL @ MOUNT FABER,1350000,1161,4,RCR,Resale,1163,01 to 05,83.0,Feb-18
THE CREST,2426000,1832,3,RCR,Resale,1324,06 to 10,93.0,Feb-18
TREASURE PLACE,1550000,1171,5,RCR,Resale,1324,01 to 05,999.0,Feb-18
QUEENS PEAK,1595000,1876,3,RCR,New Sale,850,36 to 40,96.0,Feb-18
MONTEREY PARK CONDOMINIUM,1900000,1169,5,OCR,Resale,1625,06 to 10,866.0,Feb-18
HIGHLINE RESIDENCES,2383500,2069,3,RCR,New Sale,1152,31 to 35,94.0,Feb-18
HIGHLINE RESIDENCES,2369250,2057,3,RCR,New Sale,1152,26 to 30,94.0,Feb-18
THE TRILINQ,1756000,1305,5,OCR,New Sale,1346,26 to 30,93.0,Feb-18
QUEENS PEAK,1333000,1720,3,RCR,New Sale,775,21 to 25,96.0,Feb-18
PARC RIVIERA,750000,1244,5,OCR,New Sale,603,06 to 10,96.0,Feb-18
PARC RIVIERA,598000,1292,5,OCR,New Sale,463,21 to 25,96.0,Feb-18
CORALS AT KEPPEL BAY,2400000,1843,4,RCR,Resale,1302,06 to 10,88.0,Feb-18
PARC RIVIERA,1311000,1138,5,OCR,New Sale,1152,06 to 10,96.0,Feb-18
HIGHLINE RESIDENCES,4710000,2094,3,RCR,New Sale,2250,31 to 35,94.0,Feb-18
HIGHLINE RESIDENCES,2354250,2044,3,RCR,New Sale,1152,26 to 30,94.0,Feb-18
QUEENS PEAK,3144000,1570,3,RCR,New Sale,2002,31 to 35,96.0,Feb-18
WESTCOVE CONDOMINIUM,965000,854,5,OCR,Resale,1130,01 to 05,76.0,Jan-18
CARIBBEAN AT KEPPEL BAY,2090000,1541,4,RCR,Resale,1356,06 to 10,80.0,Jan-18
PARC RIVIERA,1354000,1176,5,OCR,New Sale,1152,16 to 20,96.0,Jan-18
PARC RIVIERA,1450000,1225,5,OCR,New Sale,1184,21 to 25,96.0,Jan-18
SPOTTISWOODE RESIDENCES,1180000,1958,2,RCR,Resale,603,21 to 25,999.0,Jan-18
REGENT PARK,900000,939,5,OCR,Resale,958,01 to 05,74.0,Jan-18
PARC RIVIERA,1456000,1230,5,OCR,New Sale,1184,26 to 30,96.0,Jan-18
THE TRILINQ,1878000,1064,5,OCR,New Sale,1765,01 to 05,93.0,Jan-18
WESTCOVE CONDOMINIUM,1080000,880,5,OCR,Resale,1227,01 to 05,76.0,Jan-18
PARC RIVIERA,1441000,1251,5,OCR,New Sale,1152,31 to 35,96.0,Jan-18
BOTANNIA,1050000,1190,5,OCR,Resale,883,01 to 05,866.0,Jan-18
HIGHLINE RESIDENCES,2351250,2041,3,RCR,New Sale,1152,26 to 30,94.0,Jan-18
ECHELON,2550000,1623,3,RCR,Resale,1572,21 to 25,93.0,Jan-18
THE REGENCY AT TIONG BAHRU,2305000,1409,3,RCR,Resale,1636,06 to 10,999.0,Jan-18
HIGHLINE RESIDENCES,4260000,1959,3,RCR,New Sale,2174,21 to 25,94.0,Jan-18
MARINA COLLECTION,6300000,1846,4,CCR,Resale,3412,01 to 05,88.0,Jan-18
THE INTERLACE,2050000,1287,4,RCR,Resale,1593,06 to 10,90.0,Jan-18
REGENT PARK,1190000,1043,5,OCR,Resale,1141,06 to 10,74.0,Jan-18
HIGHLINE RESIDENCES,2400750,2084,3,RCR,New Sale,1152,31 to 35,94.0,Jan-18
HIGHLINE RESIDENCES,2411250,2094,3,RCR,New Sale,1152,31 to 35,94.0,Jan-18
RIVER PLACE,1100000,1327,3,RCR,Resale,829,01 to 05,76.0,Jan-18
HIGHLINE RESIDENCES,2331750,2025,3,RCR,New Sale,1152,26 to 30,94.0,Jan-18
THE CREST,3433000,1822,3,RCR,Resale,1884,01 to 05,93.0,Jan-18
THE INFINITI,1380000,1060,5,OCR,Resale,1302,06 to 10,999.0,Jan-18
QUEENS PEAK,1499000,1763,3,RCR,New Sale,850,31 to 35,96.0,Jan-18
TURQUOISE,3590000,1476,4,CCR,Resale,2433,01 to 05,88.0,Jan-18
HIGHLINE RESIDENCES,2162500,1913,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
THE VISION,1128000,1248,5,OCR,Resale,904,01 to 05,89.0,Jan-18
SEAHILL,1475000,1305,5,OCR,Resale,1130,06 to 10,92.0,Jan-18
QUEENS PEAK,1690140,1688,3,RCR,New Sale,1001,26 to 30,96.0,Jan-18
HIGHLINE RESIDENCES,2411250,2094,3,RCR,New Sale,1152,31 to 35,94.0,Jan-18
THE TRILINQ,1722000,1280,5,OCR,New Sale,1346,16 to 20,93.0,Jan-18
HIGHLINE RESIDENCES,2162500,1913,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
THE CREST,2185000,1796,3,RCR,Resale,1216,06 to 10,93.0,Jan-18
QUEENS,1375000,1161,3,RCR,Resale,1184,11 to 15,79.0,Jan-18
THE OCEANFRONT @ SENTOSA COVE,2750000,1607,4,CCR,Resale,1711,06 to 10,86.0,Jan-18
QUEENS PEAK,1513000,1779,3,RCR,New Sale,850,31 to 35,96.0,Jan-18
PARC RIVIERA,1381800,1200,5,OCR,New Sale,1152,26 to 30,96.0,Jan-18
HIGHLINE RESIDENCES,2421000,2102,3,RCR,New Sale,1152,31 to 35,94.0,Jan-18
QUEENS PEAK,1479000,1832,3,RCR,New Sale,807,31 to 35,96.0,Jan-18
HIGHLINE RESIDENCES,2289750,1988,3,RCR,New Sale,1152,21 to 25,94.0,Jan-18
HIGHLINE RESIDENCES,2362500,1829,3,RCR,New Sale,1292,01 to 05,94.0,Jan-18
ASCENTIA SKY,1580000,1649,3,RCR,Resale,958,16 to 20,89.0,Jan-18
QUEENS PEAK,1321000,1636,3,RCR,New Sale,807,11 to 15,96.0,Jan-18
HIGHLINE RESIDENCES,2145240,1779,3,RCR,New Sale,1206,01 to 05,94.0,Jan-18
QUEENS PEAK,1506000,1749,3,RCR,New Sale,861,31 to 35,96.0,Jan-18
CORALS AT KEPPEL BAY,2292000,1852,4,RCR,Resale,1238,06 to 10,88.0,Jan-18
QUEENS PEAK,1506000,1771,3,RCR,New Sale,850,31 to 35,96.0,Jan-18
MERAPRIME,1730000,1475,3,RCR,Resale,1173,31 to 35,84.0,Jan-18
THE INTERLACE,1725000,1178,4,RCR,Resale,1464,11 to 15,90.0,Jan-18
QUEENS PEAK,1617000,1878,3,RCR,New Sale,861,36 to 40,96.0,Jan-18
THE CREST,2125000,1747,3,RCR,Resale,1216,06 to 10,93.0,Jan-18
WEST BAY CONDOMINIUM,730000,807,5,OCR,Resale,904,01 to 05,72.0,Jan-18
REFLECTIONS AT KEPPEL BAY,2664200,1661,4,RCR,Resale,1604,01 to 05,87.0,Jan-18
THE CREST,3635000,2111,3,RCR,Resale,1722,01 to 05,93.0,Jan-18
THE PARC CONDOMINIUM,1290000,1317,5,OCR,Resale,980,21 to 25,999.0,Jan-18
CLEMENTIWOODS CONDOMINIUM,1750000,1077,5,OCR,Resale,1625,01 to 05,87.0,Jan-18
HIGHLINE RESIDENCES,2220000,1928,3,RCR,New Sale,1152,11 to 15,94.0,Jan-18
HIGHLINE RESIDENCES,2176000,1925,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
CARIBBEAN AT KEPPEL BAY,2580000,1577,4,RCR,Resale,1636,01 to 05,80.0,Jan-18
QUEENS,1390000,1163,3,RCR,Resale,1195,01 to 05,79.0,Jan-18
PARC RIVIERA,1430000,1208,5,OCR,New Sale,1184,26 to 30,96.0,Jan-18
HUNDRED TREES,940000,1196,5,OCR,Resale,786,01 to 05,866.0,Jan-18
THE TRILINQ,1774000,1169,5,OCR,New Sale,1518,01 to 05,93.0,Jan-18
MARINA BAY SUITES,3280000,2059,1,CCR,Resale,1593,11 to 15,88.0,Jan-18
HERITAGE VIEW,1400000,1172,5,RCR,Resale,1195,06 to 10,77.0,Jan-18
HARBOUR VIEW TOWERS,1510000,935,4,RCR,Resale,1615,01 to 05,71.0,Jan-18
QUEENS PEAK,1593000,1897,3,RCR,New Sale,840,36 to 40,96.0,Jan-18
THE CREST,1961000,2070,3,RCR,Resale,947,01 to 05,93.0,Jan-18
HIGHLINE RESIDENCES,2745000,2125,3,RCR,New Sale,1292,31 to 35,94.0,Jan-18
QUEENS PEAK,1380000,1781,3,RCR,New Sale,775,21 to 25,96.0,Jan-18
PARC RIVIERA,1210000,1338,5,OCR,New Sale,904,26 to 30,96.0,Jan-18
QUEENS PEAK,1914000,1814,3,RCR,New Sale,1055,41 to 45,96.0,Jan-18
HIGHLINE RESIDENCES,2277750,1978,3,RCR,New Sale,1152,21 to 25,94.0,Jan-18
HUNDRED TREES,1030000,1311,5,OCR,Resale,786,11 to 15,866.0,Jan-18
QUEENS PEAK,1305000,1684,3,RCR,New Sale,775,16 to 20,96.0,Jan-18
THE CREST,1798000,1898,3,RCR,Resale,947,01 to 05,93.0,Jan-18
HIGHLINE RESIDENCES,1987500,1793,3,RCR,New Sale,1109,01 to 05,94.0,Jan-18
QUEENS PEAK,2518000,1671,3,RCR,New Sale,1507,41 to 45,96.0,Jan-18
QUEENS,2250000,942,3,RCR,Resale,2390,36 to 40,79.0,Jan-18
THE INTERLACE,1360000,1303,4,RCR,Resale,1044,06 to 10,90.0,Jan-18
HIGHLINE RESIDENCES,2263500,1965,3,RCR,New Sale,1152,16 to 20,94.0,Jan-18
QUEENS PEAK,1566000,1842,3,RCR,New Sale,850,31 to 35,96.0,Jan-18
QUEENS PEAK,1588000,1867,3,RCR,New Sale,850,36 to 40,96.0,Jan-18
THE MAYLEA,1368888,1382,5,RCR,Resale,990,01 to 05,999.0,Jan-18
SEAHILL,1510000,1336,5,OCR,Resale,1130,21 to 25,92.0,Jan-18
CLEMENTIWOODS CONDOMINIUM,2428000,899,5,OCR,Resale,2702,01 to 05,87.0,Jan-18
THE CREST,2142000,1761,3,RCR,Resale,1216,01 to 05,93.0,Jan-18
CARIBBEAN AT KEPPEL BAY,1520000,1642,4,RCR,Resale,926,06 to 10,80.0,Jan-18
HIGHLINE RESIDENCES,1982500,1721,3,RCR,New Sale,1152,01 to 05,94.0,Jan-18
TURQUOISE,3580000,1491,4,CCR,Resale,2400,01 to 05,88.0,Jan-18
BOTANNIA,1415000,1114,5,OCR,Resale,1270,01 to 05,866.0,Jan-18
HIGHLINE RESIDENCES,2722500,2108,3,RCR,New Sale,1292,31 to 35,94.0,Jan-18
HIGHLINE RESIDENCES,1888000,1670,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
GOLD COAST CONDOMINIUM,1950000,1078,5,RCR,Resale,1808,01 to 05,999.0,Jan-18
THE CREST,2065000,2019,3,RCR,Resale,1023,01 to 05,93.0,Jan-18
HIGHLINE RESIDENCES,2263500,1965,3,RCR,New Sale,1152,21 to 25,94.0,Jan-18
THE METROPOLITAN CONDOMINIUM,2110000,1181,3,RCR,Resale,1787,06 to 10,87.0,Jan-18
THE TRILINQ,1768000,1165,5,OCR,New Sale,1518,06 to 10,93.0,Jan-18
HUNDRED TREES,1630000,1251,5,OCR,Resale,1302,01 to 05,866.0,Jan-18
CARIBBEAN AT KEPPEL BAY,2050000,1536,4,RCR,Resale,1335,01 to 05,80.0,Jan-18
THE TRILINQ,1674000,1244,5,OCR,New Sale,1346,21 to 25,93.0,Jan-18
THE TRILINQ,1750000,1301,5,OCR,New Sale,1346,31 to 35,93.0,Jan-18
THE TRILINQ,1738000,1145,5,OCR,New Sale,1518,06 to 10,93.0,Jan-18
THE TRILINQ,1703000,1266,5,OCR,New Sale,1346,26 to 30,93.0,Jan-18
THE INTERLACE,1368888,1285,4,RCR,Resale,1066,06 to 10,90.0,Jan-18
THE TRILINQ,1738000,1292,5,OCR,New Sale,1346,26 to 30,93.0,Jan-18
HIGHLINE RESIDENCES,2046250,1697,3,RCR,New Sale,1206,01 to 05,94.0,Jan-18
HIGHLINE RESIDENCES,1880000,1663,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
HIGHLINE RESIDENCES,2383500,2069,3,RCR,New Sale,1152,31 to 35,94.0,Jan-18
HIGHLINE RESIDENCES,2387500,1946,3,RCR,New Sale,1227,01 to 05,94.0,Jan-18
QUEENS PEAK,1321000,1704,3,RCR,New Sale,775,21 to 25,96.0,Jan-18
CARABELLE,1220000,1288,5,OCR,Resale,947,11 to 15,866.0,Jan-18
QUEENS PEAK,1393000,1726,3,RCR,New Sale,807,21 to 25,96.0,Jan-18
HIGHLINE RESIDENCES,2354250,2044,3,RCR,New Sale,1152,26 to 30,94.0,Jan-18
HIGHLINE RESIDENCES,2113750,1723,3,RCR,New Sale,1227,01 to 05,94.0,Jan-18
QUEENS PEAK,1795000,1702,3,RCR,New Sale,1055,31 to 35,96.0,Jan-18
REGENT PARK,800000,991,5,OCR,Resale,807,01 to 05,74.0,Jan-18
QUEENS PEAK,1389000,1792,3,RCR,New Sale,775,21 to 25,96.0,Jan-18
QUEENS PEAK,1484000,1723,3,RCR,New Sale,861,26 to 30,96.0,Jan-18
QUEENS PEAK,2486000,1650,3,RCR,New Sale,1507,36 to 40,96.0,Jan-18
HIGHLINE RESIDENCES,2205240,1915,3,RCR,New Sale,1152,01 to 05,94.0,Jan-18
HIGHLINE RESIDENCES,2046250,1777,3,RCR,New Sale,1152,01 to 05,94.0,Jan-18
QUEENS PEAK,1599000,1707,3,RCR,New Sale,936,31 to 35,96.0,Jan-18
PARC RIVIERA,1528000,1327,5,OCR,New Sale,1152,31 to 35,96.0,Jan-18
HIGHLINE RESIDENCES,2046250,1810,3,RCR,New Sale,1130,01 to 05,94.0,Jan-18
QUEENS PEAK,1513000,1757,3,RCR,New Sale,861,31 to 35,96.0,Jan-18
VARSITY PARK CONDOMINIUM,1890000,1051,5,OCR,Resale,1798,01 to 05,85.0,Jan-18
HIGHLINE RESIDENCES,2400000,1956,3,RCR,New Sale,1227,01 to 05,94.0,Jan-18
