name,price,unit_price,district_code,segment,type,area,level,remaining_years,date
CARIBBEAN AT KEPPEL BAY,1910000,1504,4,RCR,Resale,1270,06 to 10,79.0,Oct-19
CORALS AT KEPPEL BAY,2556000,2581,4,RCR,Resale,990,06 to 10,87.0,Oct-19
QUEENS,1530000,1281,3,RCR,Resale,1195,31 to 35,78.0,Sep-19
DOVER PARKVIEW,980000,1046,5,RCR,Resale,936,16 to 20,73.0,Sep-19
CLEMENTIWOODS CONDOMINIUM,1190000,1189,5,OCR,Resale,1001,01 to 05,86.0,Sep-19
PASIR VIEW PARK,1250000,1262,5,RCR,Resale,990,01 to 05,999.0,Sep-19
THE CREST,2350000,1733,3,RCR,Resale,1356,11 to 15,92.0,Sep-19
SEASCAPE,4482600,2072,4,CCR,Resale,2164,01 to 05,87.0,Sep-19
SPOTTISWOODE RESIDENCES,1138000,1888,2,RCR,Resale,603,16 to 20,999.0,Sep-19
TWIN REGENCY,1830000,1868,3,RCR,Resale,980,26 to 30,999.0,Sep-19
HUNDRED TREES,1190000,1301,5,OCR,Resale,915,06 to 10,865.0,Sep-19
VARSITY PARK CONDOMINIUM,1700000,1136,5,OCR,Resale,1496,01 to 05,84.0,Sep-19
CORALS AT KEPPEL BAY,1899000,2126,4,RCR,Resale,893,01 to 05,87.0,Sep-19
CARIBBEAN AT KEPPEL BAY,1700000,1338,4,RCR,Resale,1270,06 to 10,79.0,Sep-19
THE METROPOLITAN CONDOMINIUM,1490000,1442,3,RCR,Resale,1033,21 to 25,86.0,Sep-19
TANGLIN VIEW,2300000,1295,3,RCR,Resale,1776,16 to 20,77.0,Sep-19
BLUE HORIZON,1350000,915,5,OCR,Resale,1475,01 to 05,80.0,Sep-19
MONTEREY PARK CONDOMINIUM,1455000,1165,5,OCR,Resale,1249,01 to 05,865.0,Sep-19
CARIBBEAN AT KEPPEL BAY,1570000,1736,4,RCR,Resale,904,06 to 10,79.0,Sep-19
QUEENS PEAK,3304000,1650,3,RCR,New Sale,2002,36 to 40,95.0,Sep-19
COMMONWEALTH TOWERS,1280000,1829,3,RCR,Resale,700,11 to 15,93.0,Sep-19
ASCENTIA SKY,1480000,1545,3,RCR,Resale,958,06 to 10,88.0,Sep-19
SKYLINE RESIDENCES,1758000,2121,4,RCR,Resale,829,11 to 15,999.0,Sep-19
THE INTERLACE,2268000,1197,4,RCR,Resale,1894,06 to 10,89.0,Sep-19
TANGLIN VIEW,1550000,1333,3,RCR,Resale,1163,06 to 10,77.0,Sep-19
DOMAIN 21,1830000,1429,3,RCR,Resale,1281,11 to 15,84.0,Sep-19
THE OCEANFRONT @ SENTOSA COVE,10398000,1334,4,CCR,Resale,7793,11 to 15,85.0,Sep-19
THE CREST,2505000,2041,3,RCR,Resale,1227,06 to 10,92.0,Sep-19
DOVER PARKVIEW,1460000,1140,5,RCR,Resale,1281,06 to 10,73.0,Sep-19
QUEENS PEAK,2570000,1705,3,RCR,New Sale,1507,36 to 40,95.0,Sep-19
THE STELLAR,2250000,1020,5,OCR,Resale,2207,01 to 05,999.0,Sep-19
THE PARC CONDOMINIUM,918000,1376,5,OCR,Resale,667,01 to 05,999.0,Sep-19
QUEENS,1900000,833,3,RCR,Resale,2282,36 to 40,78.0,Sep-19
CARABELLE,1650000,1267,5,OCR,Resale,1302,01 to 05,865.0,Sep-19
HERITAGE VIEW,1360000,1128,5,RCR,Resale,1206,01 to 05,76.0,Sep-19
CARIBBEAN AT KEPPEL BAY,1820000,1496,4,RCR,Resale,1216,01 to 05,79.0,Sep-19
THE CREST,2307000,1984,3,RCR,Resale,1163,06 to 10,92.0,Sep-19
THE CREST,2315500,1938,3,RCR,Resale,1195,01 to 05,92.0,Sep-19
DOVER PARKVIEW,1108000,1183,5,RCR,Resale,936,11 to 15,73.0,Sep-19
TERESA VILLE,2250000,1168,4,RCR,Resale,1927,01 to 05,999.0,Sep-19
THE STELLAR,2100000,1021,5,OCR,Resale,2056,01 to 05,999.0,Sep-19
HORIZON RESIDENCES,2250000,1526,5,RCR,Resale,1475,01 to 05,999.0,Sep-19
VILLAGE @ PASIR PANJANG,1270000,1513,5,RCR,Resale,840,01 to 05,999.0,Sep-19
TANGLIN VIEW,1558000,1365,3,RCR,Resale,1141,06 to 10,77.0,Sep-19
